update_date,open,high,low,close,amt,volume,position_all
2014/12/30,483.92,498.33,483.92,498.25,0,736600,2678512
2014/12/31,508.69,513.55,501.82,507.63,0,1245000,2525008
2015/1/5,503.37,503.37,496.43,498.46,0,677700,2620356
2015/1/6,496.29,518.31,494.49,518.17,0,1294600,2725016
2015/1/7,517.94,518.6,504.51,511.16,0,1050700,2684042
2015/1/8,511.95,514.83,504.32,509.33,0,741600,2666072
2015/1/9,511.16,511.16,503.91,506.91,0,977000,2602582
2015/1/12,505.29,505.29,494.54,495.54,0,1250200,2633982
2015/1/13,494.37,500.36,491.37,497.06,0,617500,2630166
2015/1/14,494.61,500.54,487.52,493.98,0,979000,2621108
2015/1/15,495.18,504.25,491.44,503.2,0,805400,2651532
2015/1/16,502.82,509.1,499.28,502.22,0,691300,2700128
2015/1/19,500.99,506.81,493.57,504.01,0,887400,2624296
2015/1/20,503.02,504.85,497.19,497.77,0,427800,2701176
2015/1/21,498.13,500.05,481.09,481.87,0,917600,2714682
2015/1/22,481.95,489.25,480.08,482.89,0,804200,2696680
2015/1/23,482.33,485.09,470.46,472.44,0,909400,2807710
2015/1/26,471.64,471.64,464.57,466.55,0,994800,2830086
2015/1/27,465.42,470.58,463.33,466.14,0,429600,2804108
2015/1/28,468.16,470.25,462.25,467.17,0,380100,2779116
2015/1/29,467.17,474,466.59,471.93,0,520400,2834564
2015/1/30,471.92,473.38,468.23,470.47,0,291600,2821282
2015/2/2,471.45,471.45,467.16,468.47,0,328100,2724626
2015/2/3,468.49,479.07,468.47,475.09,0,714400,2639596
2015/2/4,476.39,482.67,467.04,468.64,0,1062200,2625316
2015/2/5,472.24,475.91,467.98,471.84,0,704600,2580128
2015/2/6,471.84,477.13,469.55,475.44,0,498500,2442196
2015/2/9,475.52,475.52,470.89,473.19,0,377900,2491256
2015/2/10,474.23,477.78,473.17,477.5,0,149600,2384730
2015/2/11,479.01,480.47,474.53,478.44,0,248600,2337914
2015/2/12,477.81,478.44,472.86,475.78,0,223000,2339050
2015/2/13,476.81,488.83,475.83,484.52,0,653600,2373596
2015/2/16,483.84,494.37,483.84,492.29,0,397500,2444802
2015/2/17,491.9,492.61,484.41,489.01,0,218500,2441458
2015/2/25,486.07,486.07,475.11,475.46,0,642900,2359318
2015/2/26,476.7,485.86,475.88,484.89,0,457900,2508448
2015/2/27,485.65,487.39,479.88,481.41,0,573500,2645520
2015/3/2,481.05,482.85,474.58,481.17,0,796000,2954604
2015/3/3,481.11,483.67,477.69,482.23,0,432600,2847816
2015/3/4,481.66,482.7,474.15,475.56,0,449300,2877216
2015/3/5,473.71,473.71,457.98,458.01,0,1144600,3010234
2015/3/6,457.1,461.01,447.81,451.07,0,833200,3089820
2015/3/9,450.99,459.68,450.99,457.25,0,1104900,3102770
2015/3/10,457,458.66,452.57,453.02,0,372400,3176774
2015/3/11,452.36,456.81,449.8,456.14,0,541300,3045112
2015/3/12,455.88,461.94,453.17,459.96,0,628400,2936926
2015/3/13,459.86,466.25,454.93,455.92,0,589700,2928898
2015/3/16,455.21,460.03,452.48,459.03,0,462400,3043740
2015/3/17,458.98,460.03,454.39,454.68,0,267600,2943238
2015/3/18,453.44,454.38,438.25,438.51,0,1308400,2780374
2015/3/19,437,444.01,435.49,438.44,0,792700,2732976
2015/3/20,438.49,443.29,430.4,431.33,0,771300,2720904
2015/3/23,431.26,437.76,429.9,435.93,0,1695900,2749686
2015/3/24,437.86,445.48,435.79,440.58,0,1275700,2830048
2015/3/25,442.18,442.52,431.44,432.38,0,818600,2762200
2015/3/26,431.38,436.89,425.88,427.65,0,1345400,2740138
2015/3/27,427.43,429.11,413.06,421.18,0,1843400,2701080
2015/3/30,421.46,421.46,407.96,408.88,0,1400600,2716306
2015/3/31,408.11,411.98,399.89,401.31,0,1144500,2934916
2015/4/1,401.1,401.97,390.76,391.61,0,1514400,3205704
2015/4/2,388.19,389.01,380.14,380.15,0,1549100,3448626
2015/4/3,375,380.05,370.21,380.05,0,2043700,3541514
2015/4/7,380.13,388.89,380.05,387.02,0,972700,4028684
2015/4/8,387.84,392.81,377.14,391.68,0,1713600,4013974
2015/4/9,389.68,392.52,376.92,377.92,0,1430200,4065884
2015/4/10,389.33,389.33,367.96,369.87,0,1510100,4166848
2015/4/13,371.62,386.93,371.62,386.9,0,2164900,4165352
2015/4/14,391.81,399.52,387.73,395.75,0,1796500,4054374
2015/4/15,398.55,399.78,386.31,387.31,0,1304300,4114436
2015/4/16,387.19,400.22,387.19,395.41,0,1092100,3964324
2015/4/17,387.52,401.22,387.52,394.5,0,1239700,3909322
2015/4/20,393.68,397.54,386.72,387.64,0,1549100,4170244
2015/4/21,387.13,390.09,378.91,388.22,0,1513800,4264128
2015/4/22,389.06,399.74,386.25,399.74,0,1409000,4197882
2015/4/23,403.38,406.51,395.36,399.92,0,1876900,3925660
2015/4/24,403.64,418.2,403.31,418.18,0,2574200,3687936
2015/4/27,421.04,435.14,421.04,434.42,0,3116100,3614160
2015/4/28,433.65,436.9,423.18,427.54,0,2439400,3512012
2015/4/29,427.56,429.61,413.25,413.32,0,1988300,3496426
2015/4/30,409.71,419.86,407.22,413.83,0,2484100,3329008
2015/5/4,416.98,427.66,410.55,424.89,0,1570200,3335774
