,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2016-08-08,2016-08-08 09:05:00,17344.57,17410.08,17343.14,17400.22,12138.0,2016-08-08 00:00:00,366200,1.0,0.00714266797222
2016-08-09,2016-08-09 09:05:00,17468.9,17515.04,17456.43,17494.82,8052.0,2016-08-09 00:00:00,379300,1.0,-0.00214209538415
2016-08-10,2016-08-10 09:05:00,17431.52,17450.77,17403.5,17410.94,7404.0,2016-08-10 00:00:00,479700,1.0,0.0120794469344
2016-08-11,2016-08-11 09:05:00,17643.36,17665.16,17643.36,17646.92,10346.0,2016-08-11 00:00:00,465300,1.0,-0.0035202587289
2016-08-12,2016-08-12 09:05:00,17581.36,17607.14,17559.79,17564.35,10242.0,2016-08-12 00:00:00,395700,1.0,-0.0217572065704
2016-08-15,2016-08-15 09:05:00,17202.97,17245.2,17197.01,17242.69,18066.0,2016-08-15 00:00:00,551700,1.0,0.00933260339753
2016-08-16,2016-08-16 09:05:00,17364.27,17374.31,17350.69,17364.4,8968.0,2016-08-16 00:00:00,404600,1.0,-0.00166860799894
2016-08-17,2016-08-17 09:05:00,17335.32,17335.32,17292.61,17299.12,6718.0,2016-08-17 00:00:00,335400,1.0,0.00354541588309
2016-08-18,2016-08-18 09:05:00,17396.89,17415.42,17383.28,17383.55,10058.0,2016-08-18 00:00:00,467200,1.0,0.00748247414184
2016-08-19,2016-08-19 09:05:00,17527.55,17542.0,17504.68,17541.34,6652.0,2016-08-19 00:00:00,318100,1.0,-0.00230817510827
2016-08-22,2016-08-22 09:05:00,17487.14,17494.69,17464.03,17482.86,8040.0,2016-08-22 00:00:00,354000,1.0,0.00116360690079
2016-08-23,2016-08-23 09:05:00,17507.5,17552.98,17507.5,17538.52,9346.0,2016-08-23 00:00:00,372000,1.0,0.00603402193419
2016-08-24,2016-08-24 09:05:00,17613.46,17647.77,17613.46,17630.13,9002.0,2016-08-24 00:00:00,293100,1.0,-0.00974101285916
2016-08-25,2016-08-25 09:05:00,17442.72,17452.59,17436.04,17445.42,9884.0,2016-08-25 00:00:00,586400,1.0,0.013086257738
2016-08-26,2016-08-26 09:05:00,17672.48,17795.75,17672.35,17792.03,36472.0,2016-08-26 00:00:00,841100,1.0,0.0159853057497
2016-08-29,2016-08-29 09:05:00,17957.25,17957.25,17912.97,17917.51,9750.0,2016-08-29 00:00:00,578200,1.0,-0.00322003626549
2016-08-30,2016-08-30 09:05:00,17899.52,17899.52,17877.53,17887.98,7944.0,2016-08-30 00:00:00,486200,1.0,0.00369883682359
2016-08-31,2016-08-31 09:05:00,17965.85,17986.34,17949.22,17959.73,8848.0,2016-08-31 00:00:00,728100,1.0,0.00972719289571
2016-09-01,2016-09-01 09:05:00,18141.46,18173.97,18117.56,18164.39,28072.0,2016-09-01 00:00:00,717600,1.0,0.0114214735162
2016-09-02,2016-09-02 09:05:00,18349.85,18375.17,18347.69,18375.17,11184.0,2016-09-02 00:00:00,664800,1.0,0.00854492942073
